id,L,a,b,hex_srgb,in_srgb
533,9.5,21.75,-40.75,#001353,0
534,9.5,21.75,-29.875,#1D1043,1
535,9.5,22.625,8.5,#370A0F,1
536,9.5,23.25,-12.25,#300C2B,1
537,9.5,23.875,-38.625,#0E1150,1
538,9.5,23.875,-4.375,#350A21,1
539,9.5,24.125,-46.875,#00135C,0
540,9.5,24.875,-34.75,#1B0F4A,1
541,9.5,25.5,-1.5,#37071D,1
542,9.5,26.75,-54.25,#001367,0
543,9.5,27.625,-12.375,#35062B,1
544,9.5,27.75,-44.25,#050F58,1
545,9.5,27.75,-26.875,#2B093F,1
546,9.5,28.5,-8.75,#380427,1
547,9.5,31.25,-31.625,#2B0546,1
548,9.5,31.5,-50.375,#000C61,0
549,9.5,32.5,-43.625,#180857,1
550,9.5,33.625,-8.75,#3D0027,0
551,9.5,35.125,5.125,#420015,0
552,9.5,35.625,-15.75,#3C0030,0
553,9.5,37.25,12.0,#460008,0
554,9.5,38.0,-46.75,#1E015C,1
555,9.5,38.125,-23.75,#3A003B,0
556,9.5,39.5,-19.875,#3E0036,0
557,9.5,40.375,1.5,#46001A,0
558,9.5,40.875,-56.375,#00016A,0
559,9.5,41.25,-45.375,#27005A,0
560,9.5,41.25,6.125,#480014,0
561,9.5,42.0,-40.0,#300052,0
562,9.5,46.375,-49.25,#2A0060,0
563,9.5,47.0,-61.75,#000072,0
564,9.5,50.625,-22.875,#48003A,0
565,9.5,52.25,-8.375,#4F0027,0
566,9.5,52.5,-69.375,#00007E,0
567,9.5,53.375,-52.25,#310064,0
568,9.5,54.375,-40.0,#410052,0
569,9.5,58.75,-21.25,#510038,0
570,9.5,59.25,-59.0,#2F006E,0
571,9.5,60.0,-43.25,#450057,0
572,9.5,62.375,-49.375,#420060,0
573,9.5,62.5,-66.75,#24007A,0
574,9.5,93.5,-93.125,#2200A4,0
575,9.5625,-6.375,-24.0,#001F3B,0
576,9.5625,4.25,-17.375,#0F1A32,1
577,9.5625,6.375,-41.25,#001C54,0
578,9.5625,8.125,-38.0,#001B4F,0
579,9.5625,8.75,-24.875,#09193C,1
580,9.5625,9.625,-22.625,#111839,1
581,9.5625,12.5,-14.625,#21152E,1
582,9.5625,14.625,-11.75,#26132B,1
583,9.5625,16.75,-6.5,#2C1124,1
584,9.5625,17.25,-10.625,#2A1129,1
585,9.5625,20.125,-13.25,#2C0F2D,1
586,9.5625,30.0,1.125,#3D011A,1
587,9.5625,32.75,-58.5,#000F6D,0
588,9.5625,32.875,-3.0,#3E001F,0
589,9.5625,63.625,-75.5,#000088,0
590,9.5625,69.75,-80.0,#00008F,0
591,9.5625,98.125,-73.375,#570085,0
592,9.5625,103.25,-90.25,#4500A0,0
593,9.5625,125.25,-103.25,#5400B5,0
594,9.625,-0.375,-21.25,#001D37,0
595,9.625,78.75,-77.0,#30008B,0
596,9.625,80.375,-70.5,#410081,0
597,9.6875,-8.5,-20.75,#001F37,0
598,9.6875,28.125,-51.5,#001163,0
599,9.75,7.125,-10.0,#1E1828,1
600,9.75,26.5,-19.625,#300936,1
601,9.75,97.25,-88.25,#3D009D,0
602,9.8125,1.375,-14.0,#0F1B2E,1
603,9.8125,35.625,-49.875,#0D0761,1
604,9.8125,42.25,-12.5,#45002D,0
605,9.8125,63.375,-27.25,#540041,0
606,10.0,20.125,-5.875,#310F24,1
607,10.0,38.75,-32.125,#360048,0
608,10.0,48.125,-42.625,#370057,0
609,10.0625,-23.125,-20.125,#002437,0
610,10.0625,40.625,-4.125,#470022,0
611,10.0625,103.125,-100.125,#2900B1,0
612,10.125,-20.25,-22.125,#002439,0
613,10.125,5.875,-7.125,#1F1925,1
614,10.125,12.375,-45.625,#001B5B,0
615,10.1875,-10.875,-19.25,#002136,0
616,10.1875,3.0,-14.125,#131C2F,1
617,10.1875,30.625,10.0,#41000E,1
