id,L,a,b,hex_srgb,in_srgb
547,16.75,94.625,-55.0,#7A007C,0
548,16.75,104.625,-67.0,#7D008E,0
549,16.8125,-7.25,-15.375,#002D3F,0
550,16.8125,29.125,-53.625,#001F79,0
551,16.8125,38.5,-10.0,#540439,1
552,16.8125,43.5,17.0,#600014,0
553,16.8125,88.625,-69.0,#650092,0
554,16.875,-37.5,-6.5,#003532,0
555,16.875,12.875,-8.5,#362336,1
556,16.875,35.375,-24.5,#480F4D,1
557,16.875,41.75,2.125,#5C0028,0
558,16.875,58.25,-34.0,#5E005C,0
559,16.875,59.375,-19.5,#670047,0
560,16.875,99.125,-81.875,#6400A7,0
561,16.9375,6.625,-14.75,#28283F,1
562,16.9375,7.25,-8.5,#2E2736,1
563,16.9375,13.375,12.0,#402219,1
564,16.9375,54.75,7.875,#6A0021,0
565,17.0625,-28.875,-10.125,#003438,0
566,17.0625,98.375,-72.5,#700098,0
567,17.125,-14.75,-17.125,#003142,0
568,17.125,-2.625,1.875,#272B27,1
569,17.125,24.375,-49.25,#002273,0
570,17.125,123.625,-93.75,#7B00BB,0
571,17.1875,-20.5,-23.0,#00334B,0
572,17.1875,38.25,-37.625,#410F61,1
573,17.1875,75.25,-46.875,#6A0070,0
574,17.1875,90.75,-102.75,#0400CA,0
575,17.1875,116.0,-106.625,#5600D1,0
576,17.1875,118.375,-90.25,#7800B5,0
577,17.25,46.375,-6.75,#5F0035,0
578,17.25,77.125,-74.5,#4C009B,0
579,17.25,114.875,-78.0,#8100A2,0
580,17.3125,26.25,-43.5,#20206A,1
581,17.3125,32.625,15.875,#560E16,1
582,17.3125,49.0,-16.0,#5E0042,0
583,17.3125,52.125,-69.375,#190293,1
584,17.375,60.75,-53.25,#51007A,0
585,17.375,69.25,-40.875,#680067,0
586,17.4375,-29.0,-2.75,#00342E,0
587,17.4375,4.625,9.625,#36281D,1
588,17.4375,35.125,-57.25,#071B80,1
589,17.4375,45.625,-46.625,#420370,1
590,17.4375,52.0,-32.375,#59005A,0
591,17.4375,108.0,-81.0,#7500A7,0
592,17.5,-73.875,17.75,#003C0E,0
593,17.5,-65.75,20.75,#003B07,0
594,17.5,-55.625,21.625,#003906,0
595,17.5,-44.0,22.75,#003703,0
596,17.5,-36.625,21.0,#003508,0
597,17.5,-29.625,24.0,#003401,0
598,17.5,-19.875,24.75,#173100,0
599,17.5,-6.125,-25.5,#002F50,0
600,17.5,69.0,-91.875,#0000B8,0
601,17.5,77.5,-96.875,#0000C1,0
602,17.5625,2.625,-43.5,#002E6B,0
603,17.5625,102.25,-101.375,#4500C9,0
604,17.5625,108.25,-114.0,#2300DE,0
605,17.625,-4.0,8.625,#2A2D1F,1
606,17.625,4.5,26.875,#3B2800,0
607,17.625,60.25,-66.75,#3B0090,0
608,17.625,79.625,-30.5,#7A0059,0
609,17.625,93.25,-65.25,#72008E,0
610,17.6875,-44.375,11.125,#00381A,0
611,17.6875,58.5,-86.0,#0002AF,0
612,17.75,-11.5,-32.875,#00335B,0
613,17.8125,-15.375,-0.25,#0A312C,1
614,17.8125,42.375,30.0,#630000,0
615,17.8125,48.875,-57.75,#360382,1
